ddro_station_id,ddro_ddro_station_name,latitude,longitude
0132,0132 АСМО мост р. Трубеж,54.644591,39.760114
0131,0131 АСМО Рязань мост р. Ока,54.651173,39.800352
0000,ПДК 3 г. Касимов,54.93149,41.33993
0000,ПДК 4 Поселок Выша,54.029229,42.101433
0009,0009 АСМО Песоченская СОШ Путятино,54.108579,40.823324
0012,0012 АСМО Муравлянская СОШ Муравлянка,53.65026,41.1968
0034,0034 АСМО Большое Подовечье МОУ Больше - Подовеченская школа,53.588474,39.669693
0033,0033 АСМО МБОУ «Бурминская ООШ»,53.577918,40.247117
0025,0025 АСМО с. Дядьково,54.613357,39.850815
0016,"0016 АСМО г. Пронск, ул. Березовая",54.124139,39.597553
0017,0017 АСМО с. Тырново,54.274937,39.582784
0019,"0019 АСМО г. Спасск-Рязанский, Рязанское шоссе 26",54.419183,40.367726
0018,0018 АСМО с. Алеканово ад 61K-011,54.628223,39.975014
0020,0020 АСМО д. Чернобаево,54.302902,39.965735
0021,0021 АСМО п. Синец,54.513331,39.756593
0024,0024 АСМО д. Кореньки,54.203282,40.041984
0022,"0022 АСМО п. Искра, Юбилейная 3",54.446575,39.887603
0023,0023 АСМО с. Семкино,54.595155,40.091717
0013,0013 АСМО Спиринская ООШ Спирино,55.110167,40.497742
0112,0112 АСМО МОУ Казачинская СОШ,54.015368,41.696117
0010,0010 АСМО Инякинская СОШ Аделино,54.470218,41.294948
0011,0011 АСМО ОГБОУ «Чапаевская школа-интернат» Грязное,54.04351,39.1161
0014,0014 АСМО МБОУ «Веретьинская СШ» Веретье,54.65883,40.483013
0015,0015 АСМО МКОУ «Глядковская СШ» Глядково,54.416379,41.96303
0028,0028 АСМО Рязань Ситники,54.617741,39.653524
0026,"0026 АСМО Муромское ш., поворот на Глобус",54.620905,39.797798
0027,0027 АСМО с. Кузьминское МБОУ Кузьминская СШ,54.863317,39.628494
0029,0029 АСМО с. Ходынино,54.727864,39.562869
0030,0030 АСМО Рыбное Путепровод,54.740963,39.486855
0032,0032 АСМО Пехлец,53.946587,40.108386
0031,0031 АСМО Мамоново,53.987382,39.573854
0108,"0108 ACMO PTZ Северный обход, 3-й Борковской карьер эстакада",54.640092,39.718964
0057,0057 ACMO PTZ Московское ш. - Народный Бульвар,54.647228,39.653673
0081,0081 АСМО Въезд Приокский путепровод - ул. Октябрьская,54.646666,39.661761
0068,0068 ACMO PTZ Круиз эстакада,54.634495,39.778091
0109,0109 АСУДД Мельгуново,54.494373,39.741931
0117,0117 АСМО Хирино,54.665045,39.561896
0120,0120 АСМО Реткино,54.528672,39.785245
0114,0114 АСМО Асники мост р. Лоша,54.069618,40.089466
0118,0118 АСМО Малинищи,54.360707,39.619208
0113,0113 АСМО Большая переход,54.614402,39.820267
0116,0116 АСМО Троица,54.400149,40.220634
0115,0115 АСМО Незнаново,54.021293,40.100277
0129,0129 АСМО с. Шумашь,54.669456,39.806069
0130,0130 АСМО с. Заборье,54.810519,39.870963
0000,АСМО 0184 поворот на Новомичуринск ,54.053201,39.605217
0000,с. Льгово,54.592897,39.950119
0137,0137 АСМО Малый Сапожок,53.962787,40.609339
0000,АСМО Кривское,53.725012,41.030371
0000,АСМО Ухолово,53.799694,40.471062
0145,0145 АСМО Ермишь,54.75956,42.25438
0146,0146 АСМО Кадом,54.551757,42.454103
0000,Тюрвищи,55.21917,40.09155
